term,estimate,std.error,statistic,p.value
(Intercept),51.9980017326035,9.302837347378858,5.5894776820164775,2.1685644872021742e-5
year,-0.024743469564753703,0.004705464906018153,-5.258453746644146,4.478048555800573e-5
